Location,Site,Richness,Parastacidae,Palaemonidae,Atyidae,snail,worm,flatworm,Belostomatidae,Mesovelidae,Notonectidae,Corixidae,Hydrometridae,Gerridae,Veliidae,Gyrinidae,Haliplidae,Psephenidae,Dytiscidae,Aeshnidae,Corduliidae,Zygoptera,Trichoptera,Ephemeroptera,Megaloptera,Chironimidae,Plecoptera,Turbidity,DO,Cond,pH,Temp,Substrate,CoverIn,CoverOver,CoverRiparian,SuscErosion,AquaticLife,Disturb
Cedar Creek,C1,11,4,28,112,0,0,0,4,0,22,0,0,0,2,0,0,2,0,0,0,4,20,9,0,0,18,1.65,8,239,6.5,15.5,cobble,leaves,canopy,rush/sed,good,low,park
Cedar Creek,C2,14,0,1,66,4,0,0,5,0,0,10,18,0,0,0,0,1,1,3,20,9,33,15,0,0,6,1.31,10.4,258,6.8,16.4,fine grav,rock/grav,canopy,rush/sedge,good,low,park
Cedar Creek,C3,13,5,14,35,9,0,8,0,0,65,3,0,1,6,0,0,0,0,0,56,28,18,22,0,0,0,1.34,9.5,216,6.9,16.3,cobble,rock/grav,veg/bank,tree,good,mod,park
Cedar Creek,C4,15,1,23,75,20,0,4,0,0,8,3,5,1,8,0,0,15,1,0,0,0,55,6,0,0,5,1.16,9.9,252,7.1,16.3,cobble,rock,canopy,tree/grass,good,low,farm road
Cedar Creek,C5,15,0,9,163,36,0,0,10,0,10,6,52,1,0,0,0,0,0,2,6,0,31,10,3,2,3,1.97,7.9,220,7.8,15.9,cobble,rock/grav,canopy,grasses,good,mod,farm road
Cedar Creek,C6,12,0,29,97,0,0,12,0,0,0,0,2,1,0,2,2,0,0,0,3,1,20,2,0,0,1,1.76,8,233,7.3,15.3,cobble,rock/grav,canopy,herb/grass,good/poor,mod,farm
South Pine River,S1,5,0,0,10,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,16,0,0,0,0,3.29,7.2,480,7.3,17.2,cobble,rock/grav,canopy,tree/sed,poor,mod,rural resid
South Pine River,S2,10,0,0,61,15,0,10,0,0,0,3,10,0,0,0,0,0,0,0,7,4,11,2,0,0,2,2.89,10.8,550,7.3,17.4,med gravel,leaves,canopy,grass/bare,good,mod,rural resid
South Pine River,S3,9,0,0,12,10,0,0,0,0,10,0,0,2,0,0,0,0,0,3,2,8,6,4,0,0,0,5.15,9.1,506,7.2,17.4,med sand,algae,none,vines,poor,mod,resid road
South Pine River,S4,7,0,0,54,0,0,0,0,0,4,4,3,1,0,0,0,0,0,0,0,2,8,0,0,0,0,2.26,7.9,560,7,17,med sand,rock/grav,bank,vines,good,mod,rural resid
South Pine River,S5,8,0,2,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,10,7,0,0,1,2.12,7.4,545,7.2,17.1,cobble,rock/grav,canopy,grasses,poor,mod,rural resid
South Pine River,S6,3,0,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.58,6.3,547,7.3,17.1,boulder,algae,veg oh,rush/sed,good,mod,rural resid
Cabbage Tree Creek ,CT1,5,0,0,0,15,0,6,0,0,0,0,0,7,0,0,0,0,0,8,0,9,0,0,0,0,0,4.48,6.7,570,6.75,17.7,med sand,gravel,none,grass,poor,high,cleared / factory / UNI
Cabbage Tree Creek ,CT2,7,0,0,0,10,0,2,0,0,0,0,0,2,1,0,0,0,0,12,3,12,0,0,0,0,0,5.06,5.7,582,6.55,18.2,sand,leaves,veg,grass,poor,high,cleared / UNI
Cabbage Tree Creek ,CT3,4,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,18,0,0,0,0,0,5.16,6.4,564,6.6,17.9,fine grav,gravel,none,grass,poor,mod,backed uni
Cabbage Tree Creek ,CT4,5,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6,0,10,0,0,0,0,0,3.87,5.66,485,6.9,17.6,sand,gravel,veg,sedge,poor,high,cleared / UNI
